Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
N/A,Avenue of the Saints / 932136,1.005,yes,176,no,194502233409280384,-2298625072915542945
N/A,Avenue of the Saints / 935196,0.703,yes,30,no,192544005398025733,6942972461248949617
N/A,Avenue of the Saints / 935239,1.709,yes,182,no,191937076132926705,-6882110826909516249
N/A,Avenue of the Saints / 9891652,0.349,yes,5,no,194241100351363338,6932575485728660195
N/A,Brady Street / 12399476,0.417,yes,4,no,196656726690323797,2314947715683848285
N/A,Brady Street / 14829243,0.278,yes,7,no,196656176924024148,-6908494689921396691
N/A,Brady Street / 18955579,0.279,yes,180,no,196655627168210260,-6908494689925590995
N/A,Brady Street / 19405703,0.035,yes,194,no,196657826208767317,-6908318768056758175
N/A,Brady Street / 262157,0.424,yes,183,no,196655627178696020,-6908424321173024675
N/A,Collins Road Northeast / 13909379,0.795,yes,82,no,194203717162588402,2322653083872533989
N/A,Collins Road Northeast / 13909380,0.115,yes,100,no,194184475707529455,-2289028536638366243
N/A,Collins Road Northeast / 21460278,0.902,yes,262,no,194200418627705071,6934343500342238693
N/A,Collins Road Northeast / 5509869,0.190,yes,91,no,194261441523046673,-2289019740245451293
N/A,Collins Road Northeast / 6683957,0.222,yes,271,no,194260891767757073,6934356694655835621
N/A,Collins Road Northeast / 710343,0.855,yes,88,no,194238901534677249,6934356694624378339
N/A,Collins Road Northeast / 710345,0.848,yes,268,no,194237802023049472,-2289015342234591771
N/A,Dubuque-Wisconsin Bridge / 261632,0.560,yes,271,no,196512692602756366,2331238079451376925
N/A,Dubuque-Wisconsin Bridge / 870899,0.560,yes,91,no,196512692602756366,2331238079451376923
N/A,Great River Bridge / 15154877,0.169,yes,298,no,195495091020323651,6912982193315772387
N/A,Great River Bridge / 20478289,0.168,yes,119,no,195495091020323651,6912977795267164131
N/A,I 129;US 20;US 75 / 19262740,0.254,yes,99,no,183884801413039778,-6893343468392797453
N/A,I 129;US 20;US 75 / 20788251,0.253,yes,279,no,183886450680481443,-6893343468384408845
N/A,I 280 / 13332180,0.992,yes,303,no,196454966111591665,-2298246833409880773
N/A,I 280 / 1390012,0.668,yes,129,no,196482453886033152,-2298400764955980537
N/A,I 280 / 19229507,1.158,yes,123,no,196451667577756912,2313474369389595961
N/A,I 280 / 911835,0.517,yes,167,no,196431876388379885,-6909770124256866929
N/A,I 280 / 912890,0.651,yes,345,no,196433525653200110,2313597514566077823
N/A,I 280 / 932057,0.801,yes,309,no,196484652908764416,-2298400764939203331
N/A,I 280;US 61 / 13513958,3.031,yes,357,no,196419781874769130,6925802502433542159
N/A,I 280;US 61 / 13513959,0.671,yes,360,no,196426379000634604,2314881744101183581
N/A,I 280;US 61 / 20028371,1.478,yes,182,no,196429677395008747,-2297710271897006647
N/A,I 280;US 61 / 20028372,0.641,yes,170,no,196423080356699369,-2297551942237286797
N/A,I 280;US 61 / 20028375,2.992,yes,179,no,196418682365238505,-2297547544190775275
N/A,I 280;US 61 / 20028376,0.372,yes,180,no,196425279485861099,-2296791080190865345
N/A,I 280;US 61 / 24065194,0.642,yes,349,no,196424179865705706,6925802502437736041
N/A,I 280;US 61 / 24065195,1.407,yes,2,no,196430227149249772,-6909418280552755769
N/A,I 280;US 6;US 61 / 13470343,0.383,yes,171,no,196425279496871147,6926770072663887935
N/A,I 280;US 6;US 61 / 18618963,0.118,yes,0,no,196426379012168940,6926739286342504555
N/A,I 29 / 10759753,0.281,yes,52,no,184926586212534396,-2302389837244660169
N/A,I 29 / 10759757,0.922,yes,65,no,184949126209292417,2309340161786250839
N/A,I 29 / 10759892,0.042,yes,338,no,184937031750207619,-6912554131556136751
N/A,I 29 / 11273133,0.368,yes,176,no,184934832732719234,-6912466170630108971
N/A,I 29 / 11273134,0.037,yes,158,no,184936481994393731,6922499525677418705
N/A,I 29 / 11273135,0.407,yes,150,no,184940880035137667,-6912567325664212823
N/A,I 29 / 12825726,3.819,yes,360,no,184939230844766339,6922609476840196801
N/A,I 29 / 12825727,0.434,yes,359,no,184936482130184323,-6911476610163012877
N/A,I 29 / 12825806,0.624,yes,1,no,184489531726186424,2320867439869434619
N/A,I 29 / 12825814,7.323,yes,332,no,184338898938316630,2324355090486402551
N/A,I 29 / 12825815,0.519,yes,335,no,184269080058480465,-2287212181243027229
N/A,I 29 / 1307560,0.752,yes,347,no,183893597479847592,-2281784993272288663
N/A,I 29 / 1377334,3.214,yes,350,no,185120099125512406,-6923149024749947719
N/A,I 29 / 1377583,0.483,yes,272,no,184977713514236049,-6913957108202338721
N/A,I 29 / 1377797,4.701,yes,360,no,184939230987372675,6924887664932948723
N/A,I 29 / 1389097,7.712,yes,304,no,185298219821517052,6910712762873147743
N/A,I 29 / 1389144,0.710,yes,321,no,185088764073298116,-2303163892795177855
