Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
N/A,motorway_link / 12560341,0.433,yes,184,no,192865612412835477,-6893136725987546285
N/A,motorway_link / 12570664,0.360,yes,201,no,190541795611464310,-2272909710072989017
N/A,motorway_link / 12731282,0.290,yes,63,no,189384006965481575,6926145523219959643
N/A,motorway_link / 12731747,0.362,yes,95,no,189976643800486260,2315044447247667285
N/A,motorway_link / 12731999,0.377,yes,332,no,190172906757116366,-2295506874447949257
N/A,motorway_link / 12732493,0.055,yes,80,no,189953004413210988,2315985629085700613
N/A,motorway_link / 12735612,0.319,yes,135,no,196388997346450649,6941239645534431773
N/A,motorway_link / 12736579,0.367,yes,271,no,196281795061832871,2330415643856219041
N/A,motorway_link / 12761736,0.019,yes,48,no,192534109764015618,2331123715018861803
N/A,motorway_link / 12762503,0.082,yes,224,no,193092661546145535,-2281617832434193649
N/A,motorway_link / 12762506,0.020,yes,80,no,193031088890795748,2330041797472955133
N/A,motorway_link / 12763098,0.061,yes,259,no,194237252165523720,-2289868563324855201
N/A,motorway_link / 12823361,0.035,yes,2,no,184923837398861949,-6914344136538585683
N/A,motorway_link / 12823466,0.562,yes,132,no,185066773863811257,-6914713571875093283
N/A,motorway_link / 12825583,0.400,yes,169,no,184662706976540677,-2272496316134180081
N/A,motorway_link / 12826841,0.583,yes,261,no,185277884611512600,-2265169168251729851
N/A,motorway_link / 12827006,0.277,yes,236,no,184905145717966962,-6914216593242192399
N/A,motorway_link / 12831175,0.300,yes,127,no,185195965339748599,-2312580109985385489
N/A,motorway_link / 12831500,0.319,yes,17,no,184732526028343334,2339633905265556523
N/A,motorway_link / 12841040,0.022,yes,85,no,189940909673107814,-2296641571343298469
N/A,motorway_link / 12877425,0.052,yes,305,no,194473096794167667,-6906717887458700493
N/A,motorway_link / 12922043,0.084,yes,349,no,196784819654450575,2313830612354469417
N/A,motorway_link / 12922044,0.018,yes,344,no,196784269900209551,2313830612350275123
N/A,motorway_link / 12922045,0.121,yes,348,no,196783720146492814,-6909506240132411853
N/A,motorway_link / 12924236,0.027,yes,339,no,194235602876061959,-2290053281288807415
N/A,motorway_link / 12924410,0.029,yes,19,no,194248797070645518,2322085735979556063
N/A,motorway_link / 12924924,0.018,yes,11,no,194254844360481040,-6901488610991661951
N/A,motorway_link / 12927482,0.272,yes,68,no,189978293927235958,2322226457198206249
N/A,motorway_link / 12932952,0.214,yes,81,no,191015681713591117,-2301475020344391737
N/A,motorway_link / 12933335,0.041,yes,178,no,194301023256402213,-2294772384945663057
N/A,motorway_link / 12933434,0.241,yes,169,no,194247147831515404,-2289327603568337603
N/A,motorway_link / 12933548,0.318,yes,105,no,191086050857276268,-2298119310579593805
N/A,motorway_link / 12934258,0.026,yes,85,no,194485189165013369,6909397781546267023
N/A,motorway_link / 12943293,0.052,yes,69,no,194323013472180527,6928458914508837741
N/A,motorway_link / 12964626,0.225,yes,122,no,195374696243485452,2315941669315285479
N/A,motorway_link / 13065163,0.143,yes,246,no,189994785744966014,6926743659864920165
N/A,motorway_link / 13065723,0.356,yes,115,no,191256478525510585,-2269870657188642857
N/A,motorway_link / 13066705,0.385,yes,303,no,186791908167207883,-2298330433188786873
N/A,motorway_link / 13066716,0.251,yes,241,no,188410939029671596,-2298435980143620811
N/A,motorway_link / 13066982,0.439,yes,55,no,190523653365518957,6947907061708502555
N/A,motorway_link / 13073653,0.050,yes,340,no,194236702508800264,-6900732147060957733
N/A,motorway_link / 13074278,0.008,yes,360,no,189608307508465871,-2295783953544506911
N/A,motorway_link / 13077079,0.025,yes,73,no,188415337071988401,2313219251960286491
N/A,motorway_link / 13077681,0.014,yes,74,no,194250996117494030,-2289397972299932361
N/A,motorway_link / 13079087,0.301,yes,17,no,189563226117722298,-2307680669522723617
N/A,motorway_link / 13088187,0.469,yes,235,no,190442289392865864,2335279861013165173
N/A,motorway_link / 13184969,0.195,yes,264,no,189932113582182753,6926748057678647395
N/A,motorway_link / 13196882,0.009,yes,181,no,196760080746110340,2314688231327666103
N/A,motorway_link / 13200521,0.320,yes,99,no,190018975860609415,-6901097200985563861
N/A,motorway_link / 13201959,0.103,yes,186,no,196662224325533015,6927319829381648753
N/A,motorway_link / 13209072,0.365,yes,352,no,192031630412043549,6921562768838493953
N/A,motorway_link / 13213420,0.181,yes,225,no,183985406745855697,-6893202730529051835
N/A,motorway_link / 13217255,0.335,yes,177,no,190047562519630230,-6906454021550107769
N/A,motorway_link / 13218934,0.255,yes,259,no,189968397464850801,6926739261728231519
N/A,motorway_link / 13222374,0.530,yes,46,no,194243849120995593,-6902574928484099401
N/A,motorway_link / 13232742,0.136,yes,340,no,194241100546922762,6934277529730555313
N/A,motorway_link / 13235194,0.306,yes,125,no,196281245303921831,-6892965189102064751
N/A,motorway_link / 13244185,0.306,yes,261,no,183778148880565873,-6892551820423451549
N/A,motorway_link / 13248308,0.295,yes,252,no,188579164309245689,2313254436978298165
N/A,motorway_link / 13249032,0.350,yes,74,no,196733692953058676,-2292929594150349063
N/A,motorway_link / 13250731,0.038,yes,271,yes,194739730006497773,2330428832088075181
N/A,motorway_link / 13252468,0.160,yes,77,no,189725406291644675,-6900806931048292935
N/A,motorway_link / 13253660,0.053,yes,201,no,194224607773939970,-2289943330165875643
N/A,motorway_link / 13261265,0.442,yes,116,no,192481333112034790,2330345260618623865
N/A,motorway_link / 13265198,0.415,yes,67,no,194934889545554498,-2312949508726590605
N/A,motorway_link / 13265199,0.321,yes,38,no,194922245155543615,2298674936990921569
N/A,motorway_link / 13267373,0.457,yes,8,no,197095981573037598,-2296843854165307381
N/A,motorway_link / 13267374,0.018,yes,335,no,197100379612732958,-2296848252220207107
N/A,motorway_link / 13278673,0.031,yes,358,no,192662752684758588,-6891738147949892147
N/A,motorway_link / 13280549,0.052,yes,53,no,190048112344125847,6929136197361996963
N/A,motorway_link / 13288022,0.334,yes,49,no,194235602790603017,-6902486967608403269
N/A,motorway_link / 13295850,0.298,yes,267,no,194078372665055421,-2290453504095937709
N/A,motorway_link / 13295851,0.069,yes,297,no,194086069246449859,-6902148318605862063
N/A,motorway_link / 13299484,0.348,yes,101,no,191081652372984682,-6913468901765413073
N/A,motorway_link / 13299485,0.384,yes,121,no,191067358725493603,-2301738902927440073
N/A,motorway_link / 13302530,0.250,yes,106,no,194225707394095361,6934356694525812191
N/A,motorway_link / 13308073,0.365,yes,343,no,184259185793386318,-2275988366588627743
N/A,motorway_link / 13312367,0.232,yes,119,no,188211927429762642,-6910073620826944207
N/A,motorway_link / 13318168,0.008,yes,253,no,189607757574394063,-6908960909741256903
N/A,motorway_link / 13318558,0.011,yes,253,no,189607207818580175,6926097145540906809
N/A,motorway_link / 13318578,0.016,yes,235,no,189606658062766287,2314406729064910649
N/A,motorway_link / 13318579,0.004,yes,247,no,189607207818580175,6926097145538809657
N/A,motorway_link / 13324379,0.011,yes,101,no,189608307330207951,-6908960909739159751
N/A,motorway_link / 13327843,0.501,yes,244,no,184933732960520317,6920344482884879649
N/A,motorway_link / 13335952,0.139,yes,109,no,190189399403221462,-2295779553272917541
N/A,motorway_link / 13342597,0.336,yes,64,no,184930434989246591,-2298326042257912481
N/A,motorway_link / 13346520,0.412,yes,62,no,185284477726050589,-2298361225260561065
N/A,motorway_link / 13348139,0.295,yes,205,no,185269088516393240,2346477267660589121
N/A,motorway_link / 13349687,0.291,yes,8,no,185144288571115745,-2310315116241881039
N/A,motorway_link / 13349976,0.047,yes,103,no,183893047749199528,6941701392766610161
N/A,motorway_link / 13354913,0.063,yes,55,no,184987609119934618,2309419326703142495
N/A,motorway_link / 13355682,0.171,yes,131,no,183852915657098901,6942405080061586467
N/A,motorway_link / 13364674,0.021,yes,253,no,188415886834618033,-6910095610285650635
N/A,motorway_link / 13370854,0.126,yes,186,no,189605008796373197,6926097145532518213
N/A,motorway_link / 13374536,0.315,yes,302,no,183907891155650221,2330032966602861291
N/A,motorway_link / 13384104,0.026,yes,283,no,189434032844525696,6910220196975211269
N/A,motorway_link / 13387310,0.051,yes,74,no,192828229009102471,-6893220288988697807
N/A,motorway_link / 13388547,0.019,yes,193,no,194001956675082397,-2289890554459186089
N/A,motorway_link / 13389840,0.409,yes,73,no,196458265787849975,2322930169367502425
N/A,motorway_link / 13390294,0.232,yes,261,no,189653937133015266,6926682085921919047
